player_name,fd_position,true_position,projected_min,salary,team,opponent,location,implied_total,fp_pg,fp_per_min,usg_pct,usg_boost,fppm_adj,ref_weight,dvp_weight,line_weight,games_pct,gp_weight,low_gp_flag,min_sd,omega,omega_weight,proj_fp,fp_sd,ceiling,floor,fp_range,upside_ratio,hist_max_fp,hist_min_fp
Reed Sheppard,PG/SG,SG,22.63,5000,HOU,ATL,away,114.0,25.22,1.0169,21.3,0.0,1.0169,1.002945205479452,1.0044359820266886,1.008724415960306,93.8,1.0,False,5.64,0.78,1.028,24.04,10.52,39.8,13.5,26.3,0.656,56.3,9.8
Duncan Robinson,SG/SF,SF,34.56,3900,DET,PHO,away,109.0,20.29,0.7094,15.1,0.604,0.7292632,1.002945205479452,0.9501864182803884,0.9691102848002658,89.6,1.0,False,5.22,0.789,1.0289,23.95,7.96,35.9,16.0,19.9,0.499,36.5,1.0
Nic Claxton,C,C,20.68,6100,BKN,DEN,home,101.5,32.28,1.0905,17.3,0.0,1.0905,1.0322716894977169,1.057725376503143,0.9370512976997591,89.6,1.0,False,4.63,0.832,1.0332,23.84,11.38,40.9,12.5,28.4,0.716,55.4,13.1
Ryan Kalkbrenner,C,C,20.68,4400,CHA,DAL,away,115.0,22.39,0.9329,11.7,0.0,0.9329,0.9924543378995434,1.1424603145670544,1.0527692408291376,75.0,1.0,False,5.48,0.698,1.0198,23.48,8.86,36.8,14.6,22.2,0.567,39.8,2.0
Peyton Watson,PF/SF,SF,25.13,7400,DEN,BKN,away,108.0,28.15,0.9352,19.9,0.0,0.9352,1.036678082191781,1.0087567437409957,0.92844253003854,91.7,1.0,False,8.03,0.599,1.0099,23.04,13.26,42.9,9.8,33.099999999999994,0.862,66.1,4.9
Jaden Ivey,SG/PG,SG,27.62,3800,DET,PHO,away,109.0,14.62,0.86,20.3,0.8119999999999999,0.88408,1.002945205479452,0.9489862066930808,0.9691102848002658,62.5,1.0,False,4.27,0.722,1.0222,23.02,6.52,32.8,16.5,16.299999999999997,0.425,24.7,0.0
Isaiah Stewart,C/PF,C,20.68,4800,DET,PHO,away,109.0,23.72,1.0094,16.5,0.6599999999999999,1.0376632,1.002945205479452,1.0709277039635257,0.9691102848002658,85.4,1.0,False,5.01,0.783,1.0283,22.97,9.5,37.2,13.5,23.700000000000003,0.62,59.8,8.1
Clint Capela,C,C,17.36,4000,HOU,ATL,away,114.0,12.95,1.136,13.9,0.0,1.136,1.002945205479452,1.080529396661986,1.008724415960306,81.2,1.0,False,5.88,0.7,1.02,21.99,8.82,35.2,13.2,22.000000000000004,0.601,40.6,3.0
Pelle Larsson,SF/SG,SF,24.08,4600,MIA,CHI,away,120.5,19.32,0.8186,16.0,0.5598272138228941,0.8386495118790498,0.97513698630137,1.006716384042573,1.0810514458876186,83.3,1.0,False,7.39,0.603,1.0103,21.65,10.73,37.7,10.9,26.800000000000004,0.741,39.7,0.0
Aaron Wiggins,SF/PF,SF,25.3,5000,OKC,MIN,away,117.5,20.58,0.8684,19.2,0.0,0.8684,0.9995091324200912,0.9261821865342378,0.99399202389379,68.8,1.0,False,6.21,0.615,1.0114999999999998,20.45,10.07,35.6,10.4,25.200000000000003,0.741,43.2,0.2
Michael Porter Jr.,PF/SF,SF,17.05,8400,BKN,DEN,home,101.5,39.74,1.2042,30.4,0.0,1.2042,1.0322716894977169,0.998434924090151,0.9370512976997591,77.1,1.0,False,4.22,0.798,1.0298,20.42,11.64,37.9,8.8,29.1,0.856,65.5,16.4
Tyrese Martin,SG/SF,SG,27.62,3800,BKN,DEN,home,101.5,15.16,0.7937,18.8,0.0,0.7937,1.0322716894977169,0.929422757819968,0.9370512976997591,72.9,1.0,False,5.57,0.681,1.0181,20.07,8.61,33.0,11.5,21.5,0.644,39.7,2.7
Jalen Pickett,PG/SG,PG,27.43,5300,DEN,BKN,away,108.0,14.58,0.7755,14.9,0.0,0.7755,1.036678082191781,0.9951943528044208,0.92844253003854,66.7,1.0,False,11.66,0.334,0.9834,20.04,10.56,35.9,9.5,26.4,0.791,41.5,0.0
PJ Washington,PF/SF,PF,18.76,6900,DAL,CHA,home,111.5,30.89,0.9965,21.1,0.9770614940156832,1.0288009120924475,1.0084817351598174,1.004315960867958,0.9727687852687852,70.8,1.0,False,,0.568,1.0068,19.15,15.0,41.6,4.1,37.5,1.172,,
Nickeil Alexander-Walker,SG/PG,SG,18.91,6900,ATL,HOU,home,108.5,33.05,1.0046,24.6,2.375783783783784,1.07251458018018,1.0380593607305937,0.9427451064390816,0.9265640432175744,97.9,1.0,False,3.48,0.9,1.04,19.13,9.82,33.9,9.3,24.6,0.772,57.3,13.4
Jaime Jaquez,SF/PF,SF,17.05,6400,MIA,CHI,away,120.5,29.29,1.0135,21.8,0.7627645788336933,1.0383230885529158,0.97513698630137,1.006716384042573,1.0810514458876186,89.6,1.0,False,,0.662,1.0162,19.09,15.0,41.6,4.1,37.5,1.179,,
Royce O'Neale,SF/PF,SF,25.3,5000,PHO,DET,home,105.5,23.48,0.7959,14.5,0.0,0.7959,1.0380593607305937,0.9410648102168512,0.915197211074628,97.9,1.0,False,4.28,0.898,1.0398,18.72,8.61,31.6,10.1,21.5,0.688,54.1,7.4
Jaylen Clark,SG,SG,27.22,3700,MIN,OKC,home,111.0,9.78,0.6936,12.4,0.3483313325330132,0.7072388571428572,0.996917808219178,0.9539070742010416,0.9810310525978015,93.8,1.0,False,5.33,0.803,1.0303,18.5,7.18,29.3,11.3,18.0,0.584,30.9,-1.0
Isaac Okoro,SF,SF,24.23,3900,CHI,MIA,home,118.0,16.59,0.661,13.3,0.9713483146067414,0.6947926966292135,0.9560958904109588,1.007676553312419,1.0328545891635332,81.2,1.0,False,5.83,0.704,1.0204,17.09,8.22,29.4,8.9,20.5,0.72,40.0,1.0
Kevin Huerter,SF/SG,SF,17.05,4200,CHI,MIA,home,118.0,21.82,0.9325,19.5,1.4241573033707862,0.9801727528089887,0.9560958904109588,1.007676553312419,1.0328545891635332,87.5,1.0,False,6.53,0.685,1.0185,16.94,9.91,31.8,7.0,24.8,0.877,40.5,0.0
Daniss Jenkins,PG/SG,PG,16.98,4700,DET,PHO,away,109.0,16.64,1.0024,21.1,0.844,1.0304672,1.002945205479452,0.9836723215662684,0.9691102848002658,77.1,1.0,False,10.55,0.385,0.9885,16.54,13.33,36.5,3.2,33.3,1.207,48.1,-1.0
Oso Ighodaro,PF/C,C,19.66,4200,PHO,DET,home,105.5,16.73,0.8365,12.1,0.0,0.8365,1.0380593607305937,1.0152378863124565,0.915197211074628,97.9,1.0,False,6.03,0.773,1.0273,16.29,9.3,30.2,7.0,23.2,0.854,42.4,1.7
Paul Reed,C,C,11.31,4200,DET,PHO,away,109.0,16.16,1.3467,19.2,0.768,1.3844076,1.002945205479452,1.0709277039635257,0.9691102848002658,66.7,1.0,False,8.5,0.441,0.9941,16.2,13.66,36.7,2.5,34.2,1.265,63.6,0.0
Spencer Jones,SF/PF,PF,26.47,4200,DEN,BKN,away,108.0,14.67,0.619,10.0,0.0,0.619,1.036678082191781,1.0318008062173003,0.92844253003854,87.5,1.0,False,10.98,0.438,0.9938,16.17,9.99,31.2,6.2,25.0,0.929,33.1,-1.0
Tre Mann,SG/PG,PG,16.98,3600,CHA,DAL,away,115.0,14.06,0.8626,23.7,0.0,0.8626,0.9924543378995434,1.0278401079791857,1.0527692408291376,62.5,1.0,False,7.99,0.456,0.9956,15.66,10.07,30.8,5.6,25.200000000000003,0.967,40.3,0.0
Jalen Wilson,SF,PF,25.3,3600,BKN,DEN,home,101.5,8.36,0.6014,16.9,0.0,0.6014,1.0322716894977169,1.0349213563442998,0.9370512976997591,62.5,1.0,False,6.32,0.575,1.0074999999999998,15.35,6.0,24.4,9.4,14.999999999999998,0.59,22.6,0.0
Tidjane Salaun,PF,PF,15.94,3800,CHA,DAL,away,115.0,14.23,0.8784,15.1,0.0,0.8784,0.9924543378995434,1.01103714575688,1.0527692408291376,62.5,1.0,False,,0.527,1.0027,14.83,15.0,37.3,0.0,37.3,1.515,,
Ryan Dunn,PF/SF,PF,17.17,3800,PHO,DET,home,105.5,17.83,0.8698,14.3,0.0,0.8698,1.0380593607305937,1.0125974208203798,0.915197211074628,83.3,1.0,False,5.3,0.752,1.0252,14.73,8.82,28.0,5.9,22.1,0.901,37.5,3.2
Isaiah Joe,SF/SG,SG,18.52,3900,OKC,MIN,away,117.5,16.3,0.815,17.8,0.0,0.815,0.9995091324200912,0.9531869472486572,0.99399202389379,81.2,1.0,False,6.56,0.652,1.0152,14.51,8.19,26.8,6.3,20.5,0.847,35.9,1.2
Day'Ron Sharpe,C,C,11.31,4900,BKN,DEN,home,101.5,21.69,1.1918,18.2,0.0,1.1918,1.0322716894977169,1.057725376503143,0.9370512976997591,89.6,1.0,False,4.9,0.812,1.0312,14.22,9.61,28.6,4.6,24.0,1.011,41.2,4.6
Javonte Green,SF,SG,17.05,3800,DET,PHO,away,109.0,16.56,0.8625,14.8,0.592,0.88665,1.002945205479452,0.9489862066930808,0.9691102848002658,93.8,1.0,False,8.11,0.604,1.0104,14.09,9.28,28.0,4.8,23.2,0.987,44.3,0.0
Dwight Powell,C,C,17.31,4300,DAL,CHA,home,111.5,11.85,0.7745,8.1,0.375080478745357,0.7996049236483698,1.0084817351598174,1.0447630913602215,0.9727687852687852,68.8,1.0,False,10.16,0.344,0.9844,13.96,10.6,29.9,3.4,26.5,1.142,39.5,0.0
Mouhamed Gueye,PF/C,PF,16.14,3900,ATL,HOU,home,108.5,13.82,0.8638,13.2,1.2748108108108105,0.9221959927927929,1.0380593607305937,0.9531869472486572,0.9265640432175744,97.9,1.0,False,7.59,0.662,1.0162,13.87,10.16,29.1,3.7,25.4,1.098,46.9,0.0
Ronald Holland II,PF/SF,PF,14.72,3900,DET,PHO,away,109.0,19.36,0.9219,18.9,0.7559999999999999,0.9477132,1.002945205479452,0.9815119407091148,0.9691102848002658,89.6,1.0,False,5.22,0.789,1.0289,13.69,7.18,24.5,6.5,18.0,0.79,35.3,0.5
Nikola Jovic,PF,PF,12.07,4000,MIA,CHI,away,120.5,17.89,0.9416,21.6,0.7557667386609072,0.964662082073434,0.97513698630137,1.0894109624080617,1.0810514458876186,77.1,1.0,False,,0.6,1.01,13.51,15.0,36.0,0.0,36.0,1.665,,
Bones Hyland,PG,PG,13.97,4400,MIN,OKC,home,111.0,13.8,0.9928,19.7,0.5533973589435774,1.0123222857142855,0.996917808219178,0.9642288938518864,0.9810310525978015,81.2,1.0,False,7.79,0.564,1.0064,13.42,9.55,27.7,3.9,23.8,1.064,37.9,-1.0
Patrick Williams,PF/SF,PF,16.6,3700,CHI,MIA,home,118.0,13.21,0.7298,16.6,1.2123595505617974,0.76711,0.9560958904109588,1.0427227316617989,1.0328545891635332,89.6,1.0,False,6.13,0.724,1.0224,13.41,7.26,24.3,6.2,18.1,0.812,28.0,-0.8
Moussa Cisse,C,C,11.31,3800,DAL,CHA,home,111.5,13.3,1.1466,14.5,0.6714403631861329,1.18376630788279,1.0084817351598174,1.0447630913602215,0.9727687852687852,54.2,0.95,True,6.83,0.497,0.9997,13.03,11.61,30.4,1.4,29.0,1.333,39.3,-1.0
Jamaree Bouyea,PG,PG,15.46,3900,PHO,DET,home,105.5,15.02,0.9947,18.7,0.0,0.9947,1.0380593607305937,0.992553887312344,0.915197211074628,43.8,0.9,True,6.73,0.453,0.9953,12.99,9.05,26.6,3.9,22.700000000000003,1.048,32.7,3.0
Corey Kispert,SF,SF,16.86,3800,ATL,HOU,home,108.5,15.04,0.7916,17.9,1.7287207207207202,0.8451150126126126,1.0380593607305937,0.963508766899502,0.9265640432175744,58.3,0.95,True,5.77,0.594,1.0094,12.66,8.87,26.0,3.8,22.2,1.054,36.1,1.0
Tim Hardaway Jr.,SF/SG,SG,17.05,4600,DEN,BKN,away,108.0,20.28,0.7429,18.7,0.0,0.7429,1.036678082191781,0.979471581010692,0.92844253003854,95.8,1.0,False,5.89,0.773,1.0273,12.27,7.64,23.7,4.6,19.1,0.932,42.1,6.0
D'Angelo Russell,PG,PG,12.77,3700,DAL,CHA,home,111.5,18.86,0.9926,26.1,1.208592653735039,1.0247744960792406,1.0084817351598174,1.0089967860584572,0.9727687852687852,54.2,0.95,True,7.5,0.45,0.995,12.24,12.06,30.3,0.2,30.1,1.475,46.0,2.2
Drake Powell,SG/SF,PG,19.77,3700,BKN,DEN,home,101.5,11.67,0.6142,14.8,0.0,0.6142,1.0322716894977169,1.0262798329156857,0.9370512976997591,70.8,1.0,False,6.64,0.594,1.0094,12.17,7.22,23.0,5.0,18.0,0.89,25.4,-1.0
Zeke Nnaji,PF/C,C,14.56,4000,DEN,BKN,away,108.0,11.08,0.8029,14.2,0.0,0.8029,1.036678082191781,1.0626462440111035,0.92844253003854,70.8,1.0,False,9.38,0.398,0.9898,11.83,10.92,28.2,0.9,27.3,1.384,42.1,0.0
Jaylin Williams,C/PF,C,11.31,4400,OKC,MIN,away,117.5,17.61,0.9571,15.4,0.0,0.9571,0.9995091324200912,1.0648066248682573,0.99399202389379,68.8,1.0,False,5.12,0.693,1.0193,11.67,8.82,24.9,2.8,22.1,1.134,36.5,3.5
Kenrich Williams,PF,PF,13.69,4000,OKC,MIN,away,117.5,13.74,0.8865,16.3,0.0,0.8865,0.9995091324200912,1.0082766591060728,0.99399202389379,58.3,0.95,True,7.74,0.453,0.9953,11.5,10.1,26.6,1.4,25.200000000000003,1.313,36.6,1.2
Jordan Goodwin,SG/SF,SG,11.81,4900,PHO,DET,home,105.5,21.41,0.9866,18.8,0.0,0.9866,1.0380593607305937,0.9653090842804632,0.915197211074628,91.7,1.0,False,5.9,0.751,1.0251,10.95,8.91,24.3,2.0,22.3,1.219,38.6,0.2
Johnny Juzang,SF,SF,14.51,3500,MIN,OKC,home,111.0,3.61,0.9025,23.7,0.6657623049219689,0.920246638655462,0.996917808219178,0.945385571931158,0.9810310525978015,37.5,0.85,True,2.43,0.688,1.0188,10.69,4.09,16.8,6.6,10.2,0.572,15.1,-1.0
Jaden Hardy,SG,SG,12.43,3600,DAL,CHA,home,111.5,10.53,0.8291,24.0,1.1113495666529096,0.8559747478332644,1.0084817351598174,0.9799516656456152,0.9727687852687852,66.7,1.0,False,7.43,0.517,1.0017,10.25,7.96,22.2,2.3,19.9,1.166,27.7,0.0
Nick Richards,C,C,11.31,3500,PHO,DET,home,105.5,8.51,0.9352,17.9,0.0,0.9352,1.0380593607305937,1.0152378863124565,0.915197211074628,58.3,0.95,True,4.6,0.677,1.0177,9.86,6.26,19.2,3.6,15.6,0.947,26.0,0.2
Leonard Miller,SF,PF,12.07,3500,MIN,OKC,home,111.0,4.63,0.9078,21.7,0.6095798319327732,0.9256508571428572,0.996917808219178,0.9674694651376168,0.9810310525978015,37.5,0.85,True,2.97,0.688,1.0188,9.15,4.07,15.3,5.1,10.2,0.672,11.6,0.0
Bruce Brown,SF/SG,SG,12.23,4300,DEN,BKN,away,108.0,18.54,0.763,14.3,0.0,0.763,1.036678082191781,0.979471581010692,0.92844253003854,97.9,1.0,False,4.83,0.859,1.0359,9.11,8.56,22.0,0.5,21.5,1.415,36.9,0.0
