player,team,opponent,stat,book_line,player_avg,last5_avg,projected_value,vs_book_edge,recommendation,hit_rate,cv,composite_score,confidence,over_odds,under_odds,game_date,game_spread,game_total,model_mean,p_over,p_under,p_push,q10,q25,q50,q75,q90,distribution_method,model_version,projected_minutes,opportunity_rate,outcome_rate,opportunity_component,conversion_component,profile_confidence,evidence_json,selected_probability,market_no_vig_probability,probability_edge_pp,expected_roi,selected_odds
Paige Bueckers,DAL,SEA,PTS,20.5,20.595238095238095,22.4,21.6,5.4,OVER,55.0,0.318,42.6,LOW,-128,-102,2026-09-23,9.5,173.5,21.611678004535147,0.5437,0.4563,0.0,13.0,16.0,21.0,26.0,30.0,deterministic_empirical_minutes_x_rate,wnba_empirical_minutes_rates_v1,30.808,,0.70158,unavailable_no_direct_evidence,unavailable_no_direct_evidence,HIGH,"{""applied_matchup_factor"": 1.0059, ""bounded_matchup_factor"": 1.0064, ""conversion_component"": {""reason"": ""no tracking-derived opportunities"", ""status"": ""unavailable_no_direct_evidence""}, ""matchup_sample"": 214, ""matchup_source"": ""position_dvp"", ""model_mean_definition"": ""mean of discrete empirical scenarios"", ""opportunity_component"": {""reason"": ""no tracking-derived opportunities"", ""status"": ""unavailable_no_direct_evidence""}, ""outcome_per_minute_is_box_score_derived"": true, ""pregame_cutoff"": ""2026-09-23"", ""raw_matchup_factor"": 1.0064, ""sample_games"": 42, ""shrinkage_weight"": 0.9145, ""source"": ""wnba_player_game_logs""}",0.5437,0.5264701091382962,1.722989086170379,-0.031534375,-128.0
Sabrina Ionescu,NY,ATL,REB,3.5,3.838709677419355,2.6,3.2,-8.6,UNDER,55.0,0.567,40.8,MEDIUM,116,-154,2026-09-23,-1.5,176.5,3.174817898022893,0.36,0.64,0.0,1.0,2.0,3.0,4.0,5.0,deterministic_empirical_minutes_x_rate,wnba_empirical_minutes_rates_v1,28.025,,0.11365,unavailable_no_direct_evidence,unavailable_no_direct_evidence,HIGH,"{""applied_matchup_factor"": 0.935, ""bounded_matchup_factor"": 0.9286, ""conversion_component"": {""reason"": ""no tracking-derived opportunities"", ""status"": ""unavailable_no_direct_evidence""}, ""matchup_sample"": 203, ""matchup_source"": ""position_dvp"", ""model_mean_definition"": ""mean of discrete empirical scenarios"", ""opportunity_component"": {""reason"": ""no tracking-derived opportunities"", ""status"": ""unavailable_no_direct_evidence""}, ""outcome_per_minute_is_box_score_derived"": true, ""pregame_cutoff"": ""2026-09-23"", ""raw_matchup_factor"": 0.9286, ""sample_games"": 31, ""shrinkage_weight"": 0.9103, ""source"": ""wnba_player_game_logs""}",0.64,0.5670257738988136,7.297422610118643,0.055584415584415625,-154.0
Rhyne Howard,ATL,NY,PTS,16.5,17.74418604651163,16.4,17.5,6.1,OVER,56.0,0.373,40.5,LOW,-118,-110,2026-09-23,-1.5,176.5,17.505137912385074,0.5176,0.4824,0.0,9.0,12.0,17.0,22.0,26.0,deterministic_empirical_minutes_x_rate,wnba_empirical_minutes_rates_v1,33.141,,0.51191,unavailable_no_direct_evidence,unavailable_no_direct_evidence,HIGH,"{""applied_matchup_factor"": 1.0354, ""bounded_matchup_factor"": 1.0388, ""conversion_component"": {""reason"": ""no tracking-derived opportunities"", ""status"": ""unavailable_no_direct_evidence""}, ""matchup_sample"": 212, ""matchup_source"": ""position_dvp"", ""model_mean_definition"": ""mean of discrete empirical scenarios"", ""opportunity_component"": {""reason"": ""no tracking-derived opportunities"", ""status"": ""unavailable_no_direct_evidence""}, ""outcome_per_minute_is_box_score_derived"": true, ""pregame_cutoff"": ""2026-09-23"", ""raw_matchup_factor"": 1.0388, ""sample_games"": 43, ""shrinkage_weight"": 0.9138, ""source"": ""wnba_player_game_logs""}",0.5176,0.5082034454470877,0.9396554552912217,-0.04375593220338991,-118.0
Rhyne Howard,ATL,NY,AST,3.5,3.627906976744186,3.2,3.7,5.7,OVER,47.0,0.538,40.0,LOW,118,-158,2026-09-23,-1.5,176.5,3.6798269334775555,0.4884,0.5116,0.0,1.0,2.0,3.0,5.0,6.0,deterministic_empirical_minutes_x_rate,wnba_empirical_minutes_rates_v1,33.141,,0.11053,unavailable_no_direct_evidence,unavailable_no_direct_evidence,HIGH,"{""applied_matchup_factor"": 1.0204, ""bounded_matchup_factor"": 1.0223, ""conversion_component"": {""reason"": ""no tracking-derived opportunities"", ""status"": ""unavailable_no_direct_evidence""}, ""matchup_sample"": 212, ""matchup_source"": ""position_dvp"", ""model_mean_definition"": ""mean of discrete empirical scenarios"", ""opportunity_component"": {""reason"": ""no tracking-derived opportunities"", ""status"": ""unavailable_no_direct_evidence""}, ""outcome_per_minute_is_box_score_derived"": true, ""pregame_cutoff"": ""2026-09-23"", ""raw_matchup_factor"": 1.0223, ""sample_games"": 43, ""shrinkage_weight"": 0.9138, ""source"": ""wnba_player_game_logs""}",0.4884,0.4282584157758449,6.014158422415511,0.06471199999999988,118.0
Angel Reese,ATL,NY,REB,11.5,12.093023255813954,11.4,11.4,-0.9,UNDER,47.0,0.308,38.9,LOW,-112,-118,2026-09-23,-1.5,176.5,11.402920497566251,0.463,0.537,0.0,8.0,9.0,11.0,13.0,16.0,deterministic_empirical_minutes_x_rate,wnba_empirical_minutes_rates_v1,31.313,,0.37491,unavailable_no_direct_evidence,unavailable_no_direct_evidence,HIGH,"{""applied_matchup_factor"": 0.9608, ""bounded_matchup_factor"": 0.9556, ""conversion_component"": {""reason"": ""no tracking-derived opportunities"", ""status"": ""unavailable_no_direct_evidence""}, ""matchup_sample"": 152, ""matchup_source"": ""position_dvp"", ""model_mean_definition"": ""mean of discrete empirical scenarios"", ""opportunity_component"": {""reason"": ""no tracking-derived opportunities"", ""status"": ""unavailable_no_direct_evidence""}, ""outcome_per_minute_is_box_score_derived"": true, ""pregame_cutoff"": ""2026-09-23"", ""raw_matchup_factor"": 0.9556, ""sample_games"": 43, ""shrinkage_weight"": 0.8837, ""source"": ""wnba_player_game_logs""}",0.537,0.5060689431946916,3.093105680530839,-0.007915254237288172,-118.0
Arike Ogunbowale,DAL,SEA,3PM,1.5,1.7209302325581395,1.8,1.8,20.0,UNDER,53.0,0.881,38.6,LOW,-154,116,2026-09-23,9.5,173.5,1.8063818280151434,0.4689,0.5311,0.0,0.0,1.0,1.0,3.0,4.0,deterministic_empirical_minutes_x_rate,wnba_empirical_minutes_rates_v1,30.111,,0.06051,unavailable_no_direct_evidence,unavailable_no_direct_evidence,HIGH,"{""applied_matchup_factor"": 0.9497, ""bounded_matchup_factor"": 0.9449, ""conversion_component"": {""reason"": ""no tracking-derived opportunities"", ""status"": ""unavailable_no_direct_evidence""}, ""matchup_sample"": 214, ""matchup_source"": ""position_dvp"", ""model_mean_definition"": ""mean of discrete empirical scenarios"", ""opportunity_component"": {""reason"": ""no tracking-derived opportunities"", ""status"": ""unavailable_no_direct_evidence""}, ""outcome_per_minute_is_box_score_derived"": true, ""pregame_cutoff"": ""2026-09-23"", ""raw_matchup_factor"": 0.9449, ""sample_games"": 43, ""shrinkage_weight"": 0.9145, ""source"": ""wnba_player_game_logs""}",0.5311,0.4329742261011864,9.81257738988136,0.14717599999999997,116.0
Jessica Shepard,DAL,SEA,AST,4.5,5.142857142857143,6.6,6.6,46.7,OVER,52.0,0.599,38.1,LOW,-158,118,2026-09-23,9.5,173.5,6.627551020408164,0.6156,0.3844,0.0,2.0,3.0,7.0,9.0,12.0,deterministic_empirical_minutes_x_rate,wnba_empirical_minutes_rates_v1,30.562,,0.19988,unavailable_no_direct_evidence,unavailable_no_direct_evidence,HIGH,"{""applied_matchup_factor"": 1.0923, ""bounded_matchup_factor"": 1.1046, ""conversion_component"": {""reason"": ""no tracking-derived opportunities"", ""status"": ""unavailable_no_direct_evidence""}, ""matchup_sample"": 150, ""matchup_source"": ""position_dvp"", ""model_mean_definition"": ""mean of discrete empirical scenarios"", ""opportunity_component"": {""reason"": ""no tracking-derived opportunities"", ""status"": ""unavailable_no_direct_evidence""}, ""outcome_per_minute_is_box_score_derived"": true, ""pregame_cutoff"": ""2026-09-23"", ""raw_matchup_factor"": 1.1046, ""sample_games"": 42, ""shrinkage_weight"": 0.8824, ""source"": ""wnba_player_game_logs""}",0.6156,0.571741584224155,4.385841577584504,0.005220253164556987,-158.0
Paige Bueckers,DAL,SEA,REB,3.5,4.023809523809524,4.2,4.7,34.3,OVER,55.0,0.483,38.0,LOW,-138,104,2026-09-23,9.5,173.5,4.723922902494331,0.5556,0.4444,0.0,1.3,3.0,5.0,6.0,8.0,deterministic_empirical_minutes_x_rate,wnba_empirical_minutes_rates_v1,30.808,,0.13527,unavailable_no_direct_evidence,unavailable_no_direct_evidence,HIGH,"{""applied_matchup_factor"": 1.156, ""bounded_matchup_factor"": 1.1706, ""conversion_component"": {""reason"": ""no tracking-derived opportunities"", ""status"": ""unavailable_no_direct_evidence""}, ""matchup_sample"": 214, ""matchup_source"": ""position_dvp"", ""model_mean_definition"": ""mean of discrete empirical scenarios"", ""opportunity_component"": {""reason"": ""no tracking-derived opportunities"", ""status"": ""unavailable_no_direct_evidence""}, ""outcome_per_minute_is_box_score_derived"": true, ""pregame_cutoff"": ""2026-09-23"", ""raw_matchup_factor"": 1.1706, ""sample_games"": 42, ""shrinkage_weight"": 0.9145, ""source"": ""wnba_player_game_logs""}",0.5556,0.5418848167539267,1.3715183246073237,-0.04179130434782613,-138.0
Breanna Stewart,NY,ATL,REB,8.5,8.454545454545455,9.4,8.1,-4.7,UNDER,52.0,0.288,37.5,LOW,118,-158,2026-09-23,-1.5,176.5,8.138429752066116,0.4246,0.5754,0.0,5.0,6.0,8.0,10.0,12.0,deterministic_empirical_minutes_x_rate,wnba_empirical_minutes_rates_v1,32.004,,0.28591,unavailable_no_direct_evidence,unavailable_no_direct_evidence,HIGH,"{""applied_matchup_factor"": 0.8942, ""bounded_matchup_factor"": 0.8809, ""conversion_component"": {""reason"": ""no tracking-derived opportunities"", ""status"": ""unavailable_no_direct_evidence""}, ""matchup_sample"": 159, ""matchup_source"": ""position_dvp"", ""model_mean_definition"": ""mean of discrete empirical scenarios"", ""opportunity_component"": {""reason"": ""no tracking-derived opportunities"", ""status"": ""unavailable_no_direct_evidence""}, ""outcome_per_minute_is_box_score_derived"": true, ""pregame_cutoff"": ""2026-09-23"", ""raw_matchup_factor"": 0.8809, ""sample_games"": 44, ""shrinkage_weight"": 0.8883, ""source"": ""wnba_player_game_logs""}",0.5754,0.571741584224155,0.36584157758450253,-0.06042278481012653,-158.0
Jordin Canada,ATL,NY,AST,7.5,7.333333333333333,7.2,7.1,-5.3,UNDER,55.0,0.417,37.3,LOW,114,-152,2026-09-23,-1.5,176.5,7.087868480725623,0.3883,0.6117,0.0,4.0,5.0,7.0,9.0,11.0,deterministic_empirical_minutes_x_rate,wnba_empirical_minutes_rates_v1,30.505,,0.23232,unavailable_no_direct_evidence,unavailable_no_direct_evidence,HIGH,"{""applied_matchup_factor"": 1.0204, ""bounded_matchup_factor"": 1.0223, ""conversion_component"": {""reason"": ""no tracking-derived opportunities"", ""status"": ""unavailable_no_direct_evidence""}, ""matchup_sample"": 212, ""matchup_source"": ""position_dvp"", ""model_mean_definition"": ""mean of discrete empirical scenarios"", ""opportunity_component"": {""reason"": ""no tracking-derived opportunities"", ""status"": ""unavailable_no_direct_evidence""}, ""outcome_per_minute_is_box_score_derived"": true, ""pregame_cutoff"": ""2026-09-23"", ""raw_matchup_factor"": 1.0223, ""sample_games"": 42, ""shrinkage_weight"": 0.9138, ""source"": ""wnba_player_game_logs""}",0.6117,0.563470066518847,4.8229933481153004,0.01413421052631586,-152.0
Natisha Hiedeman,SEA,DAL,3PM,1.5,1.794871794871795,0.6,1.2,-20.0,UNDER,54.0,0.887,37.3,LOW,116,-154,2026-09-23,9.5,173.5,1.1742274819197895,0.3162,0.6838,0.0,0.0,0.0,1.0,2.0,3.0,deterministic_empirical_minutes_x_rate,wnba_empirical_minutes_rates_v1,30.919,,0.03527,unavailable_no_direct_evidence,unavailable_no_direct_evidence,HIGH,"{""applied_matchup_factor"": 1.0045, ""bounded_matchup_factor"": 1.0049, ""conversion_component"": {""reason"": ""no tracking-derived opportunities"", ""status"": ""unavailable_no_direct_evidence""}, ""matchup_sample"": 203, ""matchup_source"": ""position_dvp"", ""model_mean_definition"": ""mean of discrete empirical scenarios"", ""opportunity_component"": {""reason"": ""no tracking-derived opportunities"", ""status"": ""unavailable_no_direct_evidence""}, ""outcome_per_minute_is_box_score_derived"": true, ""pregame_cutoff"": ""2026-09-23"", ""raw_matchup_factor"": 1.0049, ""sample_games"": 39, ""shrinkage_weight"": 0.9103, ""source"": ""wnba_player_game_logs""}",0.6838,0.5670257738988136,11.677422610118636,0.127825974025974,-154.0
Allisha Gray,ATL,NY,AST,2.5,2.5681818181818183,2.6,2.7,8.0,OVER,45.0,0.596,36.7,LOW,116,-154,2026-09-23,-1.5,176.5,2.710227272727273,0.4845,0.5155,0.0,1.0,2.0,2.0,3.0,5.0,deterministic_empirical_minutes_x_rate,wnba_empirical_minutes_rates_v1,31.185,,0.08792,unavailable_no_direct_evidence,unavailable_no_direct_evidence,HIGH,"{""applied_matchup_factor"": 1.0204, ""bounded_matchup_factor"": 1.0223, ""conversion_component"": {""reason"": ""no tracking-derived opportunities"", ""status"": ""unavailable_no_direct_evidence""}, ""matchup_sample"": 212, ""matchup_source"": ""position_dvp"", ""model_mean_definition"": ""mean of discrete empirical scenarios"", ""opportunity_component"": {""reason"": ""no tracking-derived opportunities"", ""status"": ""unavailable_no_direct_evidence""}, ""outcome_per_minute_is_box_score_derived"": true, ""pregame_cutoff"": ""2026-09-23"", ""raw_matchup_factor"": 1.0223, ""sample_games"": 44, ""shrinkage_weight"": 0.9138, ""source"": ""wnba_player_game_logs""}",0.4845,0.4329742261011864,5.152577389881357,0.046520000000000006,116.0
Breanna Stewart,NY,ATL,PTS,19.5,20.59090909090909,21.4,20.6,5.6,UNDER,48.0,0.336,35.1,LOW,-128,-102,2026-09-23,-1.5,176.5,20.573347107438018,0.5212,0.4788,0.0,11.0,15.0,20.0,25.0,29.0,deterministic_empirical_minutes_x_rate,wnba_empirical_minutes_rates_v1,32.004,,0.67791,unavailable_no_direct_evidence,unavailable_no_direct_evidence,HIGH,"{""applied_matchup_factor"": 0.9493, ""bounded_matchup_factor"": 0.943, ""conversion_component"": {""reason"": ""no tracking-derived opportunities"", ""status"": ""unavailable_no_direct_evidence""}, ""matchup_sample"": 159, ""matchup_source"": ""position_dvp"", ""model_mean_definition"": ""mean of discrete empirical scenarios"", ""opportunity_component"": {""reason"": ""no tracking-derived opportunities"", ""status"": ""unavailable_no_direct_evidence""}, ""outcome_per_minute_is_box_score_derived"": true, ""pregame_cutoff"": ""2026-09-23"", ""raw_matchup_factor"": 0.943, ""sample_games"": 44, ""shrinkage_weight"": 0.8883, ""source"": ""wnba_player_game_logs""}",0.4788,0.4735298908617039,0.527010913829612,-0.051788235294117635,-102.0
Naz Hillmon,ATL,NY,PTS,7.5,8.928571428571429,7.2,8.0,6.7,UNDER,50.0,0.594,34.7,LOW,100,-130,2026-09-23,-1.5,176.5,7.988095238095238,0.4467,0.5533,0.0,3.0,4.0,7.0,11.0,14.0,deterministic_empirical_minutes_x_rate,wnba_empirical_minutes_rates_v1,26.107,,0.30638,unavailable_no_direct_evidence,unavailable_no_direct_evidence,HIGH,"{""applied_matchup_factor"": 0.9815, ""bounded_matchup_factor"": 0.9791, ""conversion_component"": {""reason"": ""no tracking-derived opportunities"", ""status"": ""unavailable_no_direct_evidence""}, ""matchup_sample"": 152, ""matchup_source"": ""position_dvp"", ""model_mean_definition"": ""mean of discrete empirical scenarios"", ""opportunity_component"": {""reason"": ""no tracking-derived opportunities"", ""status"": ""unavailable_no_direct_evidence""}, ""outcome_per_minute_is_box_score_derived"": true, ""pregame_cutoff"": ""2026-09-23"", ""raw_matchup_factor"": 0.9791, ""sample_games"": 42, ""shrinkage_weight"": 0.8837, ""source"": ""wnba_player_game_logs""}",0.5533,0.5306122448979592,2.2687755102040796,-0.021084615384615313,-130.0
Sabrina Ionescu,NY,ATL,3PM,1.5,2.032258064516129,1.4,1.6,6.7,UNDER,42.0,0.701,34.6,LOW,-144,108,2026-09-23,-1.5,176.5,1.607700312174818,0.4651,0.5349,0.0,1.0,1.0,1.0,2.0,3.0,deterministic_empirical_minutes_x_rate,wnba_empirical_minutes_rates_v1,28.025,,0.05567,unavailable_no_direct_evidence,unavailable_no_direct_evidence,HIGH,"{""applied_matchup_factor"": 0.9286, ""bounded_matchup_factor"": 0.9216, ""conversion_component"": {""reason"": ""no tracking-derived opportunities"", ""status"": ""unavailable_no_direct_evidence""}, ""matchup_sample"": 203, ""matchup_source"": ""position_dvp"", ""model_mean_definition"": ""mean of discrete empirical scenarios"", ""opportunity_component"": {""reason"": ""no tracking-derived opportunities"", ""status"": ""unavailable_no_direct_evidence""}, ""outcome_per_minute_is_box_score_derived"": true, ""pregame_cutoff"": ""2026-09-23"", ""raw_matchup_factor"": 0.9216, ""sample_games"": 31, ""shrinkage_weight"": 0.9103, ""source"": ""wnba_player_game_logs""}",0.5349,0.44892552251987045,8.597447748012959,0.11259200000000008,108.0
Flau'jae Johnson,SEA,DAL,REB,4.5,4.780487804878049,3.8,4.2,-6.7,UNDER,49.0,0.56,34.5,LOW,114,-152,2026-09-23,9.5,173.5,4.196311719214753,0.4188,0.5812,0.0,2.0,2.0,4.0,5.0,7.0,deterministic_empirical_minutes_x_rate,wnba_empirical_minutes_rates_v1,29.784,,0.14058,unavailable_no_direct_evidence,unavailable_no_direct_evidence,HIGH,"{""applied_matchup_factor"": 0.9921, ""bounded_matchup_factor"": 0.9914, ""conversion_component"": {""reason"": ""no tracking-derived opportunities"", ""status"": ""unavailable_no_direct_evidence""}, ""matchup_sample"": 203, ""matchup_source"": ""position_dvp"", ""model_mean_definition"": ""mean of discrete empirical scenarios"", ""opportunity_component"": {""reason"": ""no tracking-derived opportunities"", ""status"": ""unavailable_no_direct_evidence""}, ""outcome_per_minute_is_box_score_derived"": true, ""pregame_cutoff"": ""2026-09-23"", ""raw_matchup_factor"": 0.9914, ""sample_games"": 41, ""shrinkage_weight"": 0.9103, ""source"": ""wnba_player_game_logs""}",0.5812,0.563470066518847,1.7729933481153037,-0.03643157894736837,-152.0
Paige Bueckers,DAL,SEA,3PM,1.5,1.9285714285714286,2.8,2.4,60.0,OVER,55.0,0.681,34.1,MEDIUM,-146,110,2026-09-23,9.5,173.5,2.3594104308390023,0.6066,0.3934,0.0,1.0,1.0,2.0,3.0,5.0,deterministic_empirical_minutes_x_rate,wnba_empirical_minutes_rates_v1,30.808,,0.07833,unavailable_no_direct_evidence,unavailable_no_direct_evidence,HIGH,"{""applied_matchup_factor"": 0.9497, ""bounded_matchup_factor"": 0.9449, ""conversion_component"": {""reason"": ""no tracking-derived opportunities"", ""status"": ""unavailable_no_direct_evidence""}, ""matchup_sample"": 214, ""matchup_source"": ""position_dvp"", ""model_mean_definition"": ""mean of discrete empirical scenarios"", ""opportunity_component"": {""reason"": ""no tracking-derived opportunities"", ""status"": ""unavailable_no_direct_evidence""}, ""outcome_per_minute_is_box_score_derived"": true, ""pregame_cutoff"": ""2026-09-23"", ""raw_matchup_factor"": 0.9449, ""sample_games"": 42, ""shrinkage_weight"": 0.9145, ""source"": ""wnba_player_game_logs""}",0.6066,0.5548317046688382,5.176829533116178,0.0220794520547945,-146.0
Breanna Stewart,NY,ATL,AST,3.5,3.3636363636363638,3.0,3.2,-8.6,UNDER,50.0,0.577,33.7,LOW,124,-166,2026-09-23,-1.5,176.5,3.1916322314049586,0.3827,0.6173,0.0,1.0,2.0,3.0,4.0,6.0,deterministic_empirical_minutes_x_rate,wnba_empirical_minutes_rates_v1,32.004,,0.10018,unavailable_no_direct_evidence,unavailable_no_direct_evidence,HIGH,"{""applied_matchup_factor"": 0.9353, ""bounded_matchup_factor"": 0.9272, ""conversion_component"": {""reason"": ""no tracking-derived opportunities"", ""status"": ""unavailable_no_direct_evidence""}, ""matchup_sample"": 159, ""matchup_source"": ""position_dvp"", ""model_mean_definition"": ""mean of discrete empirical scenarios"", ""opportunity_component"": {""reason"": ""no tracking-derived opportunities"", ""status"": ""unavailable_no_direct_evidence""}, ""outcome_per_minute_is_box_score_derived"": true, ""pregame_cutoff"": ""2026-09-23"", ""raw_matchup_factor"": 0.9272, ""sample_games"": 44, ""shrinkage_weight"": 0.8883, ""source"": ""wnba_player_game_logs""}",0.6173,0.5829675153643546,3.433248463564531,-0.010832530120481909,-166.0
Natisha Hiedeman,SEA,DAL,PTS,12.5,14.76923076923077,9.6,11.6,-7.2,UNDER,41.0,0.496,33.1,LOW,106,-138,2026-09-23,9.5,173.5,11.597633136094675,0.4398,0.5602,0.0,4.0,8.0,12.0,15.0,19.0,deterministic_empirical_minutes_x_rate,wnba_empirical_minutes_rates_v1,30.919,,0.37543,unavailable_no_direct_evidence,unavailable_no_direct_evidence,HIGH,"{""applied_matchup_factor"": 0.9909, ""bounded_matchup_factor"": 0.99, ""conversion_component"": {""reason"": ""no tracking-derived opportunities"", ""status"": ""unavailable_no_direct_evidence""}, ""matchup_sample"": 203, ""matchup_source"": ""position_dvp"", ""model_mean_definition"": ""mean of discrete empirical scenarios"", ""opportunity_component"": {""reason"": ""no tracking-derived opportunities"", ""status"": ""unavailable_no_direct_evidence""}, ""outcome_per_minute_is_box_score_derived"": true, ""pregame_cutoff"": ""2026-09-23"", ""raw_matchup_factor"": 0.99, ""sample_games"": 39, ""shrinkage_weight"": 0.9103, ""source"": ""wnba_player_game_logs""}",0.5602,0.5443057363866126,1.5894263613387416,-0.03385797101449278,-138.0
Allisha Gray,ATL,NY,PTS,17.5,18.90909090909091,15.0,17.2,-1.7,UNDER,43.0,0.301,31.4,LOW,-120,-108,2026-09-23,-1.5,176.5,17.167871900826448,0.4985,0.5015,0.0,10.0,13.0,17.0,21.0,24.0,deterministic_empirical_minutes_x_rate,wnba_empirical_minutes_rates_v1,31.185,,0.53048,unavailable_no_direct_evidence,unavailable_no_direct_evidence,HIGH,"{""applied_matchup_factor"": 1.0354, ""bounded_matchup_factor"": 1.0388, ""conversion_component"": {""reason"": ""no tracking-derived opportunities"", ""status"": ""unavailable_no_direct_evidence""}, ""matchup_sample"": 212, ""matchup_source"": ""position_dvp"", ""model_mean_definition"": ""mean of discrete empirical scenarios"", ""opportunity_component"": {""reason"": ""no tracking-derived opportunities"", ""status"": ""unavailable_no_direct_evidence""}, ""outcome_per_minute_is_box_score_derived"": true, ""pregame_cutoff"": ""2026-09-23"", ""raw_matchup_factor"": 1.0388, ""sample_games"": 44, ""shrinkage_weight"": 0.9138, ""source"": ""wnba_player_game_logs""}",0.5015,0.4876847290640395,1.3815270935960466,-0.034148148148148205,-108.0
Sabrina Ionescu,NY,ATL,AST,4.5,4.838709677419355,5.0,4.9,8.9,OVER,52.0,0.509,31.2,LOW,-130,-102,2026-09-23,-1.5,176.5,4.908428720083247,0.5338,0.4662,0.0,2.0,3.0,5.0,6.0,7.0,deterministic_empirical_minutes_x_rate,wnba_empirical_minutes_rates_v1,28.025,,0.1828,unavailable_no_direct_evidence,unavailable_no_direct_evidence,HIGH,"{""applied_matchup_factor"": 0.9271, ""bounded_matchup_factor"": 0.9199, ""conversion_component"": {""reason"": ""no tracking-derived opportunities"", ""status"": ""unavailable_no_direct_evidence""}, ""matchup_sample"": 203, ""matchup_source"": ""position_dvp"", ""model_mean_definition"": ""mean of discrete empirical scenarios"", ""opportunity_component"": {""reason"": ""no tracking-derived opportunities"", ""status"": ""unavailable_no_direct_evidence""}, ""outcome_per_minute_is_box_score_derived"": true, ""pregame_cutoff"": ""2026-09-23"", ""raw_matchup_factor"": 0.9199, ""sample_games"": 31, ""shrinkage_weight"": 0.9103, ""source"": ""wnba_player_game_logs""}",0.5338,0.5281576830249397,0.5642316975060346,-0.05558461538461534,-130.0
Arike Ogunbowale,DAL,SEA,PTS,15.5,15.093023255813954,15.0,15.0,-3.2,UNDER,44.0,0.543,31.2,LOW,-128,-102,2026-09-23,9.5,173.5,14.97782585181179,0.4938,0.5062,0.0,5.0,8.0,15.0,21.0,25.0,deterministic_empirical_minutes_x_rate,wnba_empirical_minutes_rates_v1,30.111,,0.49766,unavailable_no_direct_evidence,unavailable_no_direct_evidence,HIGH,"{""applied_matchup_factor"": 1.0059, ""bounded_matchup_factor"": 1.0064, ""conversion_component"": {""reason"": ""no tracking-derived opportunities"", ""status"": ""unavailable_no_direct_evidence""}, ""matchup_sample"": 214, ""matchup_source"": ""position_dvp"", ""model_mean_definition"": ""mean of discrete empirical scenarios"", ""opportunity_component"": {""reason"": ""no tracking-derived opportunities"", ""status"": ""unavailable_no_direct_evidence""}, ""outcome_per_minute_is_box_score_derived"": true, ""pregame_cutoff"": ""2026-09-23"", ""raw_matchup_factor"": 1.0064, ""sample_games"": 43, ""shrinkage_weight"": 0.9145, ""source"": ""wnba_player_game_logs""}",0.5062,0.4735298908617039,3.26701091382961,0.0024745098039214986,-102.0
Dominique Malonga,SEA,DAL,REB,7.5,8.914285714285715,8.4,9.1,21.3,UNDER,37.0,0.37,30.8,LOW,-154,116,2026-09-23,9.5,173.5,9.074285714285715,0.551,0.449,0.0,5.0,6.0,9.0,11.0,14.0,deterministic_empirical_minutes_x_rate,wnba_empirical_minutes_rates_v1,26.457,,0.32218,unavailable_no_direct_evidence,unavailable_no_direct_evidence,HIGH,"{""applied_matchup_factor"": 1.0647, ""bounded_matchup_factor"": 1.0912, ""conversion_component"": {""reason"": ""no tracking-derived opportunities"", ""status"": ""unavailable_no_direct_evidence""}, ""matchup_sample"": 49, ""matchup_source"": ""position_dvp"", ""model_mean_definition"": ""mean of discrete empirical scenarios"", ""opportunity_component"": {""reason"": ""no tracking-derived opportunities"", ""status"": ""unavailable_no_direct_evidence""}, ""outcome_per_minute_is_box_score_derived"": true, ""pregame_cutoff"": ""2026-09-23"", ""raw_matchup_factor"": 1.0912, ""sample_games"": 35, ""shrinkage_weight"": 0.7101, ""source"": ""wnba_player_game_logs""}",0.449,0.4329742261011864,1.60257738988136,-0.030160000000000076,116.0
Jonquel Jones,NY,ATL,3PM,1.5,1.8409090909090908,2.4,2.6,73.3,OVER,52.0,0.75,30.6,LOW,-130,-102,2026-09-23,-1.5,176.5,2.5790289256198347,0.5444,0.4556,0.0,0.0,1.0,2.0,5.0,6.0,deterministic_empirical_minutes_x_rate,wnba_empirical_minutes_rates_v1,26.945,,0.08679,unavailable_no_direct_evidence,unavailable_no_direct_evidence,HIGH,"{""applied_matchup_factor"": 1.1474, ""bounded_matchup_factor"": 1.2, ""conversion_component"": {""reason"": ""no tracking-derived opportunities"", ""status"": ""unavailable_no_direct_evidence""}, ""matchup_sample"": 56, ""matchup_source"": ""position_dvp"", ""model_mean_definition"": ""mean of discrete empirical scenarios"", ""opportunity_component"": {""reason"": ""no tracking-derived opportunities"", ""status"": ""unavailable_no_direct_evidence""}, ""outcome_per_minute_is_box_score_derived"": true, ""pregame_cutoff"": ""2026-09-23"", ""raw_matchup_factor"": 1.3446, ""sample_games"": 44, ""shrinkage_weight"": 0.7368, ""source"": ""wnba_player_game_logs""}",0.5444,0.5281576830249397,1.624231697506029,-0.03683076923076922,-130.0
