player,team,opponent,stat,book_line,player_avg,last5_avg,projected_value,vs_book_edge,recommendation,hit_rate,cv,composite_score,confidence,over_odds,under_odds,game_date,game_spread,game_total,model_mean,p_over,p_under,p_push,q10,q25,q50,q75,q90,distribution_method,model_version,projected_minutes,opportunity_rate,outcome_rate,opportunity_component,conversion_component,profile_confidence,evidence_json,selected_probability,market_no_vig_probability,probability_edge_pp,expected_roi,selected_odds
Jordin Canada,ATL,NY,PTS,10.5,11.595238095238095,12.4,12.1,15.2,OVER,55.0,0.396,51.3,MEDIUM,-108,-120,2026-09-23,-1.5,176.5,12.07312925170068,0.585,0.415,0.0,7.0,9.0,11.0,16.0,20.0,deterministic_empirical_minutes_x_rate,wnba_empirical_minutes_rates_v1,30.505,,0.38693,unavailable_no_direct_evidence,unavailable_no_direct_evidence,HIGH,"{""applied_matchup_factor"": 1.0354, ""bounded_matchup_factor"": 1.0388, ""conversion_component"": {""reason"": ""no tracking-derived opportunities"", ""status"": ""unavailable_no_direct_evidence""}, ""matchup_sample"": 212, ""matchup_source"": ""position_dvp"", ""model_mean_definition"": ""mean of discrete empirical scenarios"", ""opportunity_component"": {""reason"": ""no tracking-derived opportunities"", ""status"": ""unavailable_no_direct_evidence""}, ""outcome_per_minute_is_box_score_derived"": true, ""pregame_cutoff"": ""2026-09-23"", ""raw_matchup_factor"": 1.0388, ""sample_games"": 42, ""shrinkage_weight"": 0.9138, ""source"": ""wnba_player_game_logs""}",0.585,0.4876847290640395,9.731527093596048,0.12666666666666665,-108.0
Natisha Hiedeman,SEA,DAL,AST,4.5,4.743589743589744,5.4,5.1,13.3,OVER,51.0,0.468,49.6,LOW,134,-180,2026-09-23,9.5,173.5,5.102564102564102,0.5378,0.4622,0.0,3.0,3.0,5.0,6.0,8.0,deterministic_empirical_minutes_x_rate,wnba_empirical_minutes_rates_v1,30.919,,0.16517,unavailable_no_direct_evidence,unavailable_no_direct_evidence,HIGH,"{""applied_matchup_factor"": 0.9809, ""bounded_matchup_factor"": 0.979, ""conversion_component"": {""reason"": ""no tracking-derived opportunities"", ""status"": ""unavailable_no_direct_evidence""}, ""matchup_sample"": 203, ""matchup_source"": ""position_dvp"", ""model_mean_definition"": ""mean of discrete empirical scenarios"", ""opportunity_component"": {""reason"": ""no tracking-derived opportunities"", ""status"": ""unavailable_no_direct_evidence""}, ""outcome_per_minute_is_box_score_derived"": true, ""pregame_cutoff"": ""2026-09-23"", ""raw_matchup_factor"": 0.979, ""sample_games"": 39, ""shrinkage_weight"": 0.9103, ""source"": ""wnba_player_game_logs""}",0.5378,0.3993154592127781,13.848454078722183,0.25845199999999996,134.0
Leonie Fiebich,NY,ATL,3PM,1.5,1.6666666666666667,1.2,1.5,0.0,OVER,57.0,0.743,48.7,MEDIUM,148,-200,2026-09-23,-1.5,176.5,1.469387755102041,0.5442,0.4558,0.0,0.0,1.0,2.0,2.0,3.0,deterministic_empirical_minutes_x_rate,wnba_empirical_minutes_rates_v1,29.19,,0.04927,unavailable_no_direct_evidence,unavailable_no_direct_evidence,HIGH,"{""applied_matchup_factor"": 0.9068, ""bounded_matchup_factor"": 0.8951, ""conversion_component"": {""reason"": ""no tracking-derived opportunities"", ""status"": ""unavailable_no_direct_evidence""}, ""matchup_sample"": 159, ""matchup_source"": ""position_dvp"", ""model_mean_definition"": ""mean of discrete empirical scenarios"", ""opportunity_component"": {""reason"": ""no tracking-derived opportunities"", ""status"": ""unavailable_no_direct_evidence""}, ""outcome_per_minute_is_box_score_derived"": true, ""pregame_cutoff"": ""2026-09-23"", ""raw_matchup_factor"": 0.8951, ""sample_games"": 21, ""shrinkage_weight"": 0.8883, ""source"": ""wnba_player_game_logs""}",0.5442,0.3768844221105528,16.731557788944723,0.34961600000000004,148.0
Rhyne Howard,ATL,NY,REB,3.5,3.7906976744186047,4.0,3.9,11.4,OVER,58.0,0.52,48.4,MEDIUM,-114,-114,2026-09-23,-1.5,176.5,3.8718226068144945,0.5911,0.4089,0.0,1.0,2.0,4.0,5.0,7.0,deterministic_empirical_minutes_x_rate,wnba_empirical_minutes_rates_v1,33.141,,0.11706,unavailable_no_direct_evidence,unavailable_no_direct_evidence,HIGH,"{""applied_matchup_factor"": 1.0086, ""bounded_matchup_factor"": 1.0094, ""conversion_component"": {""reason"": ""no tracking-derived opportunities"", ""status"": ""unavailable_no_direct_evidence""}, ""matchup_sample"": 212, ""matchup_source"": ""position_dvp"", ""model_mean_definition"": ""mean of discrete empirical scenarios"", ""opportunity_component"": {""reason"": ""no tracking-derived opportunities"", ""status"": ""unavailable_no_direct_evidence""}, ""outcome_per_minute_is_box_score_derived"": true, ""pregame_cutoff"": ""2026-09-23"", ""raw_matchup_factor"": 1.0094, ""sample_games"": 43, ""shrinkage_weight"": 0.9138, ""source"": ""wnba_player_game_logs""}",0.5911,0.5,9.109999999999996,0.10960877192982449,-114.0
Paige Bueckers,DAL,SEA,AST,5.5,5.880952380952381,6.4,6.1,10.9,OVER,57.0,0.44,47.0,MEDIUM,104,-138,2026-09-23,9.5,173.5,6.142857142857143,0.5561,0.4439,0.0,3.0,4.0,6.0,8.0,10.0,deterministic_empirical_minutes_x_rate,wnba_empirical_minutes_rates_v1,30.808,,0.20022,unavailable_no_direct_evidence,unavailable_no_direct_evidence,HIGH,"{""applied_matchup_factor"": 0.986, ""bounded_matchup_factor"": 0.9847, ""conversion_component"": {""reason"": ""no tracking-derived opportunities"", ""status"": ""unavailable_no_direct_evidence""}, ""matchup_sample"": 214, ""matchup_source"": ""position_dvp"", ""model_mean_definition"": ""mean of discrete empirical scenarios"", ""opportunity_component"": {""reason"": ""no tracking-derived opportunities"", ""status"": ""unavailable_no_direct_evidence""}, ""outcome_per_minute_is_box_score_derived"": true, ""pregame_cutoff"": ""2026-09-23"", ""raw_matchup_factor"": 0.9847, ""sample_games"": 42, ""shrinkage_weight"": 0.9145, ""source"": ""wnba_player_game_logs""}",0.5561,0.4581151832460733,9.798481675392672,0.13444400000000006,104.0
Jonquel Jones,NY,ATL,PTS,14.5,14.681818181818182,15.2,15.2,4.8,OVER,48.0,0.325,46.6,LOW,100,-130,2026-09-23,-1.5,176.5,15.235020661157025,0.5362,0.4638,0.0,8.0,11.0,15.0,19.0,23.0,deterministic_empirical_minutes_x_rate,wnba_empirical_minutes_rates_v1,26.945,,0.56452,unavailable_no_direct_evidence,unavailable_no_direct_evidence,HIGH,"{""applied_matchup_factor"": 1.0119, ""bounded_matchup_factor"": 1.0161, ""conversion_component"": {""reason"": ""no tracking-derived opportunities"", ""status"": ""unavailable_no_direct_evidence""}, ""matchup_sample"": 56, ""matchup_source"": ""position_dvp"", ""model_mean_definition"": ""mean of discrete empirical scenarios"", ""opportunity_component"": {""reason"": ""no tracking-derived opportunities"", ""status"": ""unavailable_no_direct_evidence""}, ""outcome_per_minute_is_box_score_derived"": true, ""pregame_cutoff"": ""2026-09-23"", ""raw_matchup_factor"": 1.0161, ""sample_games"": 44, ""shrinkage_weight"": 0.7368, ""source"": ""wnba_player_game_logs""}",0.5362,0.4693877551020409,6.681224489795912,0.07240000000000002,100.0
Leonie Fiebich,NY,ATL,PTS,7.5,8.857142857142858,4.8,6.3,-16.0,UNDER,48.0,0.659,46.3,LOW,-128,-102,2026-09-23,-1.5,176.5,6.299319727891157,0.3991,0.6009,0.0,2.0,3.0,6.0,9.0,12.0,deterministic_empirical_minutes_x_rate,wnba_empirical_minutes_rates_v1,29.19,,0.22422,unavailable_no_direct_evidence,unavailable_no_direct_evidence,HIGH,"{""applied_matchup_factor"": 0.9493, ""bounded_matchup_factor"": 0.943, ""conversion_component"": {""reason"": ""no tracking-derived opportunities"", ""status"": ""unavailable_no_direct_evidence""}, ""matchup_sample"": 159, ""matchup_source"": ""position_dvp"", ""model_mean_definition"": ""mean of discrete empirical scenarios"", ""opportunity_component"": {""reason"": ""no tracking-derived opportunities"", ""status"": ""unavailable_no_direct_evidence""}, ""outcome_per_minute_is_box_score_derived"": true, ""pregame_cutoff"": ""2026-09-23"", ""raw_matchup_factor"": 0.943, ""sample_games"": 21, ""shrinkage_weight"": 0.8883, ""source"": ""wnba_player_game_logs""}",0.6009,0.4735298908617039,12.73701091382961,0.1900176470588235,-102.0
Dominique Malonga,SEA,DAL,PTS,15.5,16.65714285714286,15.6,17.2,11.0,OVER,57.0,0.472,46.3,MEDIUM,102,-132,2026-09-23,9.5,173.5,17.187755102040818,0.5339,0.4661,0.0,9.0,12.0,16.0,21.0,28.0,deterministic_empirical_minutes_x_rate,wnba_empirical_minutes_rates_v1,26.457,,0.6047,unavailable_no_direct_evidence,unavailable_no_direct_evidence,HIGH,"{""applied_matchup_factor"": 1.0744, ""bounded_matchup_factor"": 1.1048, ""conversion_component"": {""reason"": ""no tracking-derived opportunities"", ""status"": ""unavailable_no_direct_evidence""}, ""matchup_sample"": 49, ""matchup_source"": ""position_dvp"", ""model_mean_definition"": ""mean of discrete empirical scenarios"", ""opportunity_component"": {""reason"": ""no tracking-derived opportunities"", ""status"": ""unavailable_no_direct_evidence""}, ""outcome_per_minute_is_box_score_derived"": true, ""pregame_cutoff"": ""2026-09-23"", ""raw_matchup_factor"": 1.1048, ""sample_games"": 35, ""shrinkage_weight"": 0.7101, ""source"": ""wnba_player_game_logs""}",0.5339,0.46526552222043954,6.86344777795605,0.07847799999999999,102.0
Pauline Astier,NY,ATL,REB,2.5,2.75,4.8,3.9,56.0,OVER,52.0,0.757,44.8,LOW,-144,108,2026-09-23,-1.5,176.5,3.9354338842975207,0.7051,0.2949,0.0,0.0,2.0,4.0,6.0,7.0,deterministic_empirical_minutes_x_rate,wnba_empirical_minutes_rates_v1,24.695,,0.16317,unavailable_no_direct_evidence,unavailable_no_direct_evidence,HIGH,"{""applied_matchup_factor"": 0.935, ""bounded_matchup_factor"": 0.9286, ""conversion_component"": {""reason"": ""no tracking-derived opportunities"", ""status"": ""unavailable_no_direct_evidence""}, ""matchup_sample"": 203, ""matchup_source"": ""position_dvp"", ""model_mean_definition"": ""mean of discrete empirical scenarios"", ""opportunity_component"": {""reason"": ""no tracking-derived opportunities"", ""status"": ""unavailable_no_direct_evidence""}, ""outcome_per_minute_is_box_score_derived"": true, ""pregame_cutoff"": ""2026-09-23"", ""raw_matchup_factor"": 0.9286, ""sample_games"": 44, ""shrinkage_weight"": 0.9103, ""source"": ""wnba_player_game_logs""}",0.7051,0.5510744774801295,15.402552251987045,0.19475277777777772,-144.0
Pauline Astier,NY,ATL,PTS,7.5,9.545454545454545,10.2,9.7,29.3,OVER,55.0,0.551,44.5,MEDIUM,-122,-106,2026-09-23,-1.5,176.5,9.745351239669422,0.6219,0.3781,0.0,4.0,6.0,9.0,12.0,17.0,deterministic_empirical_minutes_x_rate,wnba_empirical_minutes_rates_v1,24.695,,0.39601,unavailable_no_direct_evidence,unavailable_no_direct_evidence,HIGH,"{""applied_matchup_factor"": 0.9769, ""bounded_matchup_factor"": 0.9746, ""conversion_component"": {""reason"": ""no tracking-derived opportunities"", ""status"": ""unavailable_no_direct_evidence""}, ""matchup_sample"": 203, ""matchup_source"": ""position_dvp"", ""model_mean_definition"": ""mean of discrete empirical scenarios"", ""opportunity_component"": {""reason"": ""no tracking-derived opportunities"", ""status"": ""unavailable_no_direct_evidence""}, ""outcome_per_minute_is_box_score_derived"": true, ""pregame_cutoff"": ""2026-09-23"", ""raw_matchup_factor"": 0.9746, ""sample_games"": 44, ""shrinkage_weight"": 0.9103, ""source"": ""wnba_player_game_logs""}",0.6219,0.5164392569455861,10.546074305441389,0.13165409836065578,-122.0
