player,team,opponent,salary,value,stat,player_avg,projected_value,adjusted_avg,extra_fp,edge_pct,recommendation,book_line,book_over,book_under,vs_book_edge,archetype,dva_edge,dvp_edge,blend,hit_rate,cv,last5_avg,hit_rate_unweighted,cv_unweighted,last5_avg_unweighted,playoff_n,playoff_weight_applied,confidence,confidence_reasons,gate_fail_count,composite_score,pace_factor,total_factor,physical_edge,usage_boost,opportunity_index,cascade_tier,opportunity_spike,out_player_details,total_vacated_usage,total_vacated_minutes,projected_min,implied_team_total,blowout_cap,projection_factors,opening_line,current_line,line_drift,line_drift_pct,line_snapshots,last_hour_drift,last_hour_from,last_hour_minutes,move_pattern,largest_swing,largest_swing_share
Luke Kornet,SA,MIN,3600,6.27,PTS,6.5,7.3,6.5,-0.0,-0.1,OVER,3.5,100.0,-128.0,108.6,Traditional Big,-0.12,0.24,29/70 DVP/DVA,75.3,0.69,6.6,75.3,0.69,6.6,0,False,LOW,"High variance (CV 0.69 > 0.30); Weak matchup: DVA -0.1, DVP +0.2 — need ≥0.5 directional support for OVER",2,54.0,1.0,0.998,,1.1,1.15,1.0,,"[{'name': 'Carter Bryant', 'usg': 16.3, 'mpg': 11.5, 'rpg': 2.5, 'apg': 0.7, 'archetype': 'Unknown', 'creation_idx': 0.0, 'playmaking_idx': 0.0, 'perimeter_idx': 0.0, 'interior_idx': 0.0}]",16.3,11.5,20.6,114.0,0.997,Opp Ratio ×1.15 (+0.9) T1; Blowout cap 1.00; H2H +0.6,3.5,3.5,0.0,0.0,6.0,0.0,3.5,89.9,flat,0.0,0.0
Josh Hart,NY,PHI,6500,5.05,PTS,12.0,11.8,12.6,0.6,2.7,OVER,9.5,-102.0,-130.0,24.2,Scoring Wing,0.77,0.22,29/70 DVP/DVA,67.1,0.52,8.6,67.1,0.52,8.6,0,False,LOW,High variance (CV 0.52 > 0.30); Trending down (last 5: 8.6 vs avg 11.8); Last-5 avg 8.6 below line 9.5 for OVER,3,53.2,1.0,1.002,,1.6,,,,,0.0,0.0,29.1,113.5,,Recent trend ↓1.2; DVA +0.8,11.5,9.5,-2.0,-17.39,6.0,-2.0,11.5,89.9,sudden_swing,-2.0,1.0
Stephon Castle,SA,MIN,7400,4.9,AST,7.4,9.0,7.6,0.3,2.8,OVER,6.5,-132.0,104.0,38.5,Scoring Wing,0.17,0.36,29/70 DVP/DVA,54.8,0.37,5.6,54.8,0.37,5.6,0,False,LOW,"Hit rate 54.8% < 58%; High variance (CV 0.37 > 0.30); Trending down (last 5: 5.6 vs avg 7.3); Last-5 avg 5.6 below line 6.5 for OVER; Weak matchup: DVA +0.2, DVP +0.4 — need ≥0.5 directional support for OVER",5,52.7,1.0,0.998,,2.7,1.16,1.0,,"[{'name': 'Carter Bryant', 'usg': 16.3, 'mpg': 11.5, 'rpg': 2.5, 'apg': 0.7, 'archetype': 'Unknown', 'creation_idx': 0.0, 'playmaking_idx': 0.0, 'perimeter_idx': 0.0, 'interior_idx': 0.0}]",16.3,11.5,29.3,114.0,0.997,Playmaking idx 3.1; P&R vuln ppp:0.883; Opp Ratio ×1.16 (+1.3 ast); Inflation cap 9.2→9.0,6.5,6.5,0.0,0.0,6.0,0.0,6.5,89.9,flat,0.0,0.0
Jalen Brunson,NY,PHI,8900,4.37,PTS,26.0,27.1,25.7,-0.3,-1.2,OVER,23.5,-108.0,-122.0,15.3,Combo Guard,0.16,-1.36,29/70 DVP/DVA,67.9,0.31,27.2,67.9,0.31,27.2,0,False,LOW,"High variance (CV 0.31 > 0.30); Weak matchup: DVA +0.2, DVP -1.4 — need ≥0.5 directional support for OVER",2,52.5,1.0,1.002,,1.6,,,,,0.0,0.0,33.0,113.5,,Recent trend ↑1.0; DVP -1.4; Usage boost +0.4; H2H -0.8,26.5,23.5,-3.0,-11.32,6.0,-3.0,26.5,89.9,sudden_swing,-3.0,1.0
Anthony Edwards,MIN,SA,7700,4.63,REB,5.0,4.7,5.1,0.1,1.0,OVER,3.5,-160.0,124.0,34.3,Playmaker,0.13,-0.09,29/70 DVP/DVA,69.7,0.49,6.0,69.7,0.49,6.0,0,False,LOW,"High variance (CV 0.49 > 0.30); Weak matchup: DVA +0.1, DVP -0.1 — need ≥0.5 directional support for OVER",2,52.3,1.0,0.998,0.29,,,,,,0.0,0.0,32.2,103.5,,RES 0.96; Share 8.0%; GameReb 84,3.5,3.5,0.0,0.0,6.0,0.0,3.5,89.9,flat,0.0,0.0
Miles McBride,NY,PHI,3600,5.49,PTS,12.0,8.3,11.6,-0.4,-1.8,OVER,6.5,-122.0,-108.0,27.7,Shooting Wing,-0.85,0.63,29/70 DVP/DVA,72.9,0.61,7.4,72.9,0.61,7.4,0,False,LOW,High variance (CV 0.61 > 0.30); Trending down (last 5: 7.4 vs avg 11.1),2,51.2,1.0,1.002,,1.6,,,,,0.0,0.0,22.8,113.5,,Recent trend ↓2.8; DVA -0.9; DVP +0.6; Min proj 23,7.5,6.5,-1.0,-13.33,6.0,-1.0,7.5,89.9,sudden_swing,-1.0,1.0
De'Aaron Fox,SA,MIN,7300,4.98,AST,6.2,7.1,6.0,-0.3,-2.7,OVER,5.5,-136.0,106.0,29.1,Playmaker,-0.48,0.36,29/70 DVP/DVA,57.1,0.39,6.4,57.1,0.39,6.4,0,False,LOW,"Hit rate 57.1% < 58%; High variance (CV 0.39 > 0.30); Weak matchup: DVA -0.5, DVP +0.4 — need ≥0.5 directional support for OVER",3,51.1,1.0,0.998,,2.7,1.16,1.0,,"[{'name': 'Carter Bryant', 'usg': 16.3, 'mpg': 11.5, 'rpg': 2.5, 'apg': 0.7, 'archetype': 'Unknown', 'creation_idx': 0.0, 'playmaking_idx': 0.0, 'perimeter_idx': 0.0, 'interior_idx': 0.0}]",16.3,11.5,30.5,114.0,0.997,DVA -0.5; P&R vuln ppp:0.883; Opp Ratio ×1.16 (+1.0 ast),5.5,5.5,0.0,0.0,6.0,0.0,5.5,89.9,flat,0.0,0.0
Paul George,PHI,NY,6700,4.12,AST,3.6,3.2,3.5,-0.1,-1.9,UNDER,4.5,128.0,-172.0,-28.9,Scoring Wing,0.08,-0.47,29/70 DVP/DVA,67.4,0.46,3.0,67.4,0.46,3.0,0,False,LOW,"High variance (CV 0.46 > 0.30); Weak matchup: DVA +0.1, DVP -0.5 — need ≥0.5 directional support for UNDER",2,49.9,1.0,1.002,,,,,,,0.0,0.0,28.5,105.0,,Recent ↓0.3,3.5,4.5,1.0,28.57,6.0,1.0,3.5,89.9,sudden_swing,1.0,1.0
Dylan Harper,SA,MIN,4700,4.61,PTS,11.8,14.7,11.9,0.1,0.5,OVER,11.5,-102.0,-125.0,27.8,Scoring Wing,0.51,-0.77,29/70 DVP/DVA,56.8,0.5,15.0,56.8,0.5,15.0,0,False,LOW,Hit rate 56.8% < 58%; High variance (CV 0.5 > 0.30),2,49.8,1.0,0.998,,2.4,1.15,1.0,,"[{'name': 'Carter Bryant', 'usg': 16.3, 'mpg': 11.5, 'rpg': 2.5, 'apg': 0.7, 'archetype': 'Unknown', 'creation_idx': 0.0, 'playmaking_idx': 0.0, 'perimeter_idx': 0.0, 'interior_idx': 0.0}]",16.3,11.5,20.7,114.0,0.997,Recent trend ↑1.3; DVA +0.5; DVP -0.8; Opp Ratio ×1.15 (+1.9) T1; Blowout cap 1.00; H2H -0.9,10.5,11.5,1.0,9.52,6.0,0.0,11.5,89.9,sudden_swing,1.0,1.0
Julian Champagnie,SA,MIN,4300,4.72,PTS,11.1,12.5,10.7,-0.4,-1.6,OVER,9.5,102.0,-130.0,31.6,Shooting Wing,-0.05,-1.08,29/70 DVP/DVA,56.3,0.58,12.4,56.3,0.58,12.4,0,False,LOW,"Hit rate 56.3% < 58%; High variance (CV 0.58 > 0.30); Weak matchup: DVA -0.0, DVP -1.1 — need ≥0.5 directional support for OVER",3,49.1,1.0,0.998,,1.6,1.17,1.0,,"[{'name': 'Carter Bryant', 'usg': 16.3, 'mpg': 11.5, 'rpg': 2.5, 'apg': 0.7, 'archetype': 'Unknown', 'creation_idx': 0.0, 'playmaking_idx': 0.0, 'perimeter_idx': 0.0, 'interior_idx': 0.0}]",16.3,11.5,25.4,114.0,0.997,DVP -1.1; Opp Ratio ×1.17 (+1.9) T1; Blowout cap 1.00; H2H -0.9,8.5,9.5,1.0,11.76,6.0,1.0,8.5,89.9,reversal,1.0,0.33
