player_name,fd_position,true_position,projected_min,salary,team,opponent,location,implied_total,fp_pg,fp_per_min,usg_pct,usg_boost,fppm_adj,ref_weight,dvp_weight,line_weight,games_pct,gp_weight,low_gp_flag,min_sd,omega,omega_weight,proj_fp,fp_sd,ceiling,floor,fp_range,upside_ratio,hist_max_fp,hist_min_fp,team_days_rest,team_is_b2b,team_is_3in4,load_mgmt_risk,opp_days_rest,opp_is_b2b,rest_advantage_days,tier,raw_fp_sd,tier_cv,tier_expected_sd,value_ratio,value_vs_tier,archetype
Brandon Ingram,SF/PF,SF,27.74,7000,TOR,CLE,away,129.0,35.87,1.0612,26.9,1.175134575569358,1.0936511884057971,0.9818583868898741,1.0034845225092277,1.1469431833670591,160.4,1.0,False,4.13,0.9,1.04,35.654968937392916,9.91,50.5,25.7,24.8,0.416,58.9,14.0,3,False,False,False,3,False,0,mid_high,9.91,0.286,9.77,4.95,0.0,Scoring Wing
LeBron James,PF/SF,SF,28.59,9800,LAL,HOU,home,106.0,41.42,1.2476,27.2,2.4025965996908814,1.3247410170015455,1.0013448117769443,0.9803611704114112,0.9187703763530883,125.0,1.0,False,4.03,0.9,1.04,35.526728367578635,10.2782745,50.9,25.2,25.7,0.433,63.2,11.5,3,False,False,False,3,False,0,stud,10.3522,0.277,10.55,3.82,0.0,Point Forward
Paolo Banchero,PF/SF,PF,25.3,8500,ORL,DET,away,111.0,40.88,1.1747,27.6,2.1170149253731343,1.2377724711226477,0.9890594394307187,0.9988132048272775,1.0088522870978687,150.0,1.0,False,5.21,0.9,1.04,32.45853619802742,10.91,48.8,21.5,27.299999999999997,0.503,64.9,14.5,2,False,False,False,2,False,0,mid_high,11.75,0.297,10.36,4.32,-0.127,Point Forward
Ja'Kobe Walter,SG,SG,37.94,3800,TOR,CLE,away,129.0,15.52,0.7571,14.0,0.6115942028985507,0.7802518985507247,0.9818583868898741,0.9299506211868496,1.1469431833670591,150.0,1.0,False,7.15,0.9,1.04,32.24156747400366,8.4334712,44.9,23.8,21.099999999999998,0.393,35.0,0.2,3,False,False,False,3,False,0,punt,8.69,0.266,24.68,8.59,2.579,Shooting Wing
Collin Murray-Boyles,PF/C,PF,25.3,6000,TOR,CLE,away,129.0,21.75,0.9932,15.5,0.6771221532091097,1.023571768115942,0.9818583868898741,1.0296639192762054,1.1469431833670591,118.8,1.0,False,7.4,0.78,1.028,30.868689203312144,12.214236499999998,49.2,18.7,30.500000000000004,0.594,55.5,1.2,3,False,False,False,3,False,0,mid,12.07,0.395,11.1,5.1,0.045,Traditional Big
Max Strus,SG/SF,,40.0,4100,CLE,TOR,home,130.5,20.78,0.8658,17.4,0.0,0.8658,0.9868632842358697,0.93001,1.1236743215031315,25.0,0.85,True,3.11,0.617,1.0117,30.713783229828586,11.0998338,47.4,19.6,27.799999999999997,0.543,39.1,6.8,3,False,False,False,3,False,0,value,8.776449999999999,0.4,12.27,6.85,0.262,3-and-D Wing
Wendell Carter,C,C,31.9,5300,ORL,DET,away,111.0,26.58,0.9072,15.6,1.1965736534717715,0.9559097521090202,0.9890594394307187,0.9589558424761664,1.0088522870978687,162.5,1.0,False,5.03,0.9,1.04,30.345164708501176,8.084012399999999,42.5,22.3,20.2,0.401,46.7,9.3,2,False,False,False,2,False,0,mid,8.28,0.231,13.01,6.76,0.385,Traditional Big
Reed Sheppard,PG/SG,SG,31.75,6200,HOU,LAL,away,102.5,27.18,1.0374,21.7,1.2319902234636875,1.0786279567039105,1.0076429727476555,0.9308745774316838,0.9069671283853628,170.8,1.0,False,6.65,0.9,1.04,30.29968674953503,10.453541,46.0,19.8,26.2,0.518,63.4,7.5,3,False,False,False,3,False,0,mid,10.848799999999999,0.359,10.98,4.88,0.0,Playmaker
Jakob Poeltl,C,C,23.65,4000,TOR,CLE,away,129.0,25.7,1.028,15.3,0.6683850931677019,1.0594359420289854,0.9818583868898741,1.045606777985912,1.1469431833670591,95.8,1.0,False,6.01,0.764,1.0264,30.281796709510733,12.153519499999998,48.5,18.1,30.4,0.602,53.1,1.5,3,False,False,False,3,False,0,value,11.87,0.346,15.19,8.69,0.6,Traditional Big
Jarrett Allen,C/PF,C,20.68,6100,CLE,TOR,home,130.5,32.4,1.1956,19.9,0.0,1.1956,0.9868632842358697,1.0559586448924234,1.1236743215031315,116.7,1.0,False,4.18,0.9,1.04,30.1102345133515,11.701485000000002,47.7,18.4,29.300000000000004,0.584,85.9,13.1,3,False,False,False,3,False,0,mid,11.3836,0.389,10.63,4.8,-0.016,Traditional Big
Duncan Robinson,SG/SF,SF,33.15,3900,DET,ORL,home,115.5,20.59,0.7515,15.8,1.247553903345725,0.79303643866171,0.9923570272523445,1.0021409507215866,1.0269012650865201,160.4,1.0,False,4.79,0.9,1.04,27.92128890792346,6.39,37.5,21.5,16.0,0.343,36.5,1.0,2,False,False,False,2,False,0,punt,6.3888,0.246,19.66,6.67,1.779,Shooting Wing
Tobias Harris,PF/SF,PF,26.94,6500,DET,ORL,home,115.5,26.07,0.9412,18.8,1.4844312267657995,0.9932214185873607,0.9923570272523445,0.9653640291211177,1.0269012650865201,131.2,1.0,False,6.51,0.9,1.04,27.375670048183643,8.191211599999999,39.7,19.2,20.500000000000004,0.45,42.5,3.5,2,False,False,False,2,False,0,mid,8.36,0.295,10.27,4.35,-0.109,Scoring Wing
Alperen Sengun,C/PF,C,20.68,9600,HOU,LAL,away,102.5,44.08,1.3237,26.6,1.5101815642458103,1.3763059825418997,1.0076429727476555,1.0109532052842753,0.9069671283853628,150.0,1.0,False,5.98,0.9,1.04,27.34816254350415,8.75,40.5,18.6,21.9,0.481,80.1,1.2,3,False,False,False,3,False,0,stud,13.58965,0.307,8.03,2.97,-0.223,Traditional Big
Dennis Schroder,PG/SG,PG,24.33,3600,CLE,TOR,home,130.5,22.59,0.9335,21.0,0.0,0.9335,0.9868632842358697,0.983659194116985,1.1236743215031315,145.8,1.0,False,,0.9,1.04,25.765102470607324,14.133124,47.0,11.6,35.4,0.824,,,3,False,False,False,3,False,0,punt,14.325,0.522,20.73,7.62,2.175,Playmaker
Marcus Smart,SG/SF,SG,31.94,6300,LAL,HOU,home,106.0,21.06,0.7389,15.4,1.3602936630602784,0.7845873176197835,1.0013448117769443,1.041073862982756,0.9187703763530883,129.2,1.0,False,5.14,0.9,1.04,24.962134219319694,10.896342,41.3,14.1,27.199999999999996,0.655,58.8,6.7,3,False,False,False,3,False,0,mid,10.74375,0.492,7.81,3.41,-0.301,Shooting Wing
Moritz Wagner,C/PF,C,20.68,3500,ORL,DET,away,111.0,12.94,1.0874,24.3,1.8638935756002595,1.14578512394549,0.9890594394307187,0.9589558424761664,1.0088522870978687,75.0,1.0,False,4.73,0.751,1.0251,23.24173428914475,9.7535367,37.9,13.5,24.4,0.631,30.0,1.0,2,False,False,False,2,False,0,punt,6.92,0.393,19.19,7.25,2.021,Traditional Big
